time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
34.48212,-0.0058,1.02,0.009,0,0,0
34.48781,-0.0058,1.02,0.009,0,0,0
34.4918,-0.0058,1.02,0.009,0,0,0
34.50097,-0.0058,1.02,0.009,0,0,0
34.50555,-0.0058,1.02,0.009,0,0,0
34.50954,-0.0058,1.02,0.009,0,0,0
34.51354,-0.0058,1.02,0.009,0,0,0
34.51783,-0.0058,1.02,0.009,0,0,0
34.52212,-0.0058,1.02,0.009,0,0,0
34.52619,-0.0058,1.02,0.009,0,0,0
34.53047,-0.0058,1.02,0.009,0,0,0
34.53487,-0.0058,1.02,0.009,0,0,0
34.54258,-0.0058,1.02,0.009,0,0,0
34.54971,-0.0058,1.02,0.009,0,0,0
34.55371,-0.0058,1.02,0.009,0,0,0
34.55743,-0.0058,1.02,0.009,0,0,0
34.56116,-0.0058,1.02,0.009,0,0,0
34.56538,-0.0058,1.02,0.009,0,0,0
34.5692,-0.0058,1.02,0.009,0,0,0
34.57307,-0.0058,1.02,0.009,0,0,0
34.57653,-0.0058,1.02,0.009,0,0,0
34.58032,-0.0058,1.02,0.009,0,0,0
34.58425,-0.0058,1.02,0.009,0,0,0
34.58864,-0.0058,1.02,0.009,0,0,0
34.59255,-0.0058,1.02,0.009,0,0,0
34.59605,-0.0058,1.02,0.009,0,0,0
34.60007,-0.0058,1.02,0.009,0,0,0
34.60393,-0.0058,1.02,0.009,0,0,0
34.60773,-0.0058,1.02,0.009,0,0,0
34.61157,-0.0058,1.02,0.009,0,0,0
34.61515,-0.0058,1.02,0.009,0,0,0
34.61877,-0.0058,1.02,0.009,0,0,0
34.6225,-0.0058,1.02,0.009,0,0,0
34.62636,-0.0058,1.02,0.009,0,0,0
34.6302,-0.0058,1.02,0.009,0,0,0
34.63394,-0.0058,1.02,0.009,0,0,0
34.63794,-0.0058,1.02,0.009,0,0,0
34.64152,-0.0058,1.02,0.009,0,0,0
34.64545,-0.0058,1.02,0.009,0,0,0
34.64915,-0.0058,1.02,0.009,0,0,0
34.6528,-0.0058,1.02,0.009,0,0,0
34.6571,-0.0058,1.02,0.009,0,0,0
34.66075,-0.0058,1.02,0.009,0,0,0
34.66449,-0.0058,1.02,0.009,0,0,0
34.66824,-0.0058,1.02,0.009,0,0,0
34.67206,-0.0058,1.02,0.009,0,0,0
34.67586,-0.0058,1.02,0.009,0,0,0
34.67961,-0.0058,1.02,0.009,0,0,0
34.68304,-0.0058,1.02,0.009,0,0,0
34.68756,-0.0058,1.02,0.009,0,0,0
34.69165,-0.0058,1.02,0.009,0,0,0
34.69538,-0.0058,1.02,0.009,0,0,0
34.69894,-0.0058,1.02,0.009,0,0,0
34.70265,-0.0058,1.02,0.009,0,0,0
34.70678,-0.0058,1.02,0.009,0,0,0
34.71025,-0.0058,1.02,0.009,0,0,0
34.71391,-0.0058,1.02,0.009,0,0,0
34.71787,-0.0058,1.02,0.009,0,0,0
34.72166,-0.0058,1.02,0.009,0,0,0
34.72551,-0.0058,1.02,0.009,0,0,0
34.72929,-0.0058,1.02,0.009,0,0,0
34.73275,-0.0058,1.02,0.009,0,0,0
34.73671,-0.0058,1.02,0.009,0,0,0
34.7407,-0.0058,1.02,0.009,0,0,0
34.74483,-0.0058,1.02,0.009,0,0,0
34.74984,-0.0058,1.02,0.009,0,0,0
34.75446,-0.0058,1.02,0.0101,0,0,0
34.76024,-0.0058,1.02,0.0122,0,0,0
34.76527,-0.0058,1.02,0.0132,0,0,0
34.77071,-0.0058,1.02,0.0164,0,0,0
34.77559,-0.0058,1.02,0.0175,0,0,0
34.78057,-0.0048,1.02,0.0206,0,0,0
34.78572,-0.0048,1.02,0.0228,0,0,0
34.79165,-0.0048,1.02,0.0259,0,0,0
34.79759,-0.0048,1.02,0.0302,0,0,0
34.80395,-0.0048,1.02,0.0333,0,0,0
34.81151,-0.0048,1.02,0.0386,0,0,0
34.81774,-0.0048,1.02,0.0429,0,0,0
34.82355,-0.0048,1.02,0.0481,0,0,0
34.83034,-0.0048,1.02,0.0556,0,0,0
34.8356,-0.0037,1.02,0.0608,0,0,0
34.84446,-0.0037,1.02,0.0683,0,0,0
34.84974,-0.0026,1.02,0.0725,0,0,0
34.85549,-0.0016,1.02,0.0799,0,0,0
34.86081,-0.0005,1.02,0.0841,0,0,0
34.86658,0.0016,1.02,0.0905,0,0,0
34.87164,0.0026,1.02,0.0968,0,0,0
34.87653,0.0026,1.02,0.1021,0,0,0
34.88137,0.0037,1.02,0.1074,0,0,0
34.88665,0.0048,1.02,0.1127,0,0,0
34.89335,0.0048,1.02,0.119,0,0,0
34.89836,0.0058,1.02,0.1233,0,0,0
34.90351,0.0069,1.02,0.1275,0,0,0
34.91058,0.0069,1.02,0.1328,0,0,0
34.91615,0.0079,1.02,0.137,0,0,0
34.92159,0.0079,1.02,0.1413,0,0,0
34.92747,0.009,1.02,0.1444,0,0,0
34.93262,0.0101,1.02,0.1476,0,0,0
34.93849,0.0101,1.02,0.1519,0,0,0
34.94336,0.0101,1.02,0.155,0,0,0
34.94916,0.0111,1.02,0.1582,0,0,0
34.9556,0.0122,1.02,0.1635,0,0,0
34.9604,0.0122,1.02,0.1656,0,0,0
34.96949,0.0122,1.02,0.172,0,0,0
34.9745,0.0132,1.02,0.1741,0,0,0
34.97963,0.0132,1.02,0.1772,0,0,0
34.98457,0.0132,1.02,0.1794,0,0,0
34.99143,0.0143,1.02,0.1825,0,0,0
34.99681,0.0143,1.02,0.1857,0,0,0
35.00157,0.0143,1.02,0.1868,0,0,0
35.00735,0.0143,1.02,0.1899,0,0,0
35.01297,0.0143,1.02,0.191,0,0,0
35.01762,0.0143,1.02,0.1921,0,0,0
35.0227,0.0143,1.02,0.1942,0,0,0
35.02929,0.0143,1.02,0.1963,0,0,0
35.03378,0.0143,1.02,0.1974,0,0,0
35.03866,0.0143,1.02,0.1984,0,0,0
35.04343,0.0143,1.02,0.1995,0,0,0
35.04873,0.0143,1.02,0.1995,0,0,0
35.05293,0.0143,1.02,0.2005,0,0,0
35.05741,0.0143,1.02,0.2005,0,0,0
35.06112,0.0143,1.02,0.2005,0,0,0
35.06537,0.0143,1.02,0.2005,0,0,0
35.06984,0.0143,1.02,0.2016,0,0,0
35.07446,0.0143,1.02,0.2026,0,0,0
35.07848,0.0143,1.02,0.2026,0,0,0
35.08213,0.0143,1.02,0.2026,0,0,0
35.08652,0.0143,1.02,0.2026,0,0,0
35.09114,0.0143,1.02,0.2026,0,0,0
35.09503,0.0143,1.02,0.2026,0,0,0
35.09875,0.0143,1.02,0.2026,0,0,0
35.10255,0.0143,1.02,0.2037,0,0,0
35.10768,0.0143,1.02,0.2037,0,0,0
35.11135,0.0143,1.02,0.2037,0,0,0
35.11486,0.0143,1.02,0.2037,0,0,0
35.11906,0.0143,1.02,0.2037,0,0,0
35.12304,0.0143,1.02,0.2037,0,0,0
35.12735,0.0143,1.02,0.2037,0,0,0
35.13124,0.0143,1.02,0.2037,0,0,0
35.13504,0.0143,1.02,0.2037,0,0,0
35.13898,0.0143,1.02,0.2037,0,0,0
35.1425,0.0143,1.02,0.2037,0,0,0
35.14694,0.0143,1.02,0.2037,0,0,0
35.15044,0.0143,1.02,0.2037,0,0,0
35.15498,0.0143,1.02,0.2037,0,0,0
35.1588,0.0143,1.02,0.2037,0,0,0
35.16249,0.0143,1.02,0.2037,0,0,0
35.16659,0.0143,1.02,0.2037,0,0,0
35.17063,0.0143,1.02,0.2037,0,0,0
35.17442,0.0143,1.02,0.2037,0,0,0
35.17832,0.0143,1.02,0.2037,0,0,0
